Starting...
Gathering coverage... done in 272.996041ms
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/render.go:273:20
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:273:20
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:273:38
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:276:26
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:294:10
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:303:45
       LIVED CONDITIONALS_NEGATION at adapters/ui/render.go:248:42
       LIVED INCREMENT_DECREMENT at adapters/ui/render.go:349:18
       LIVED CONDITIONALS_NEGATION at adapters/ui/render.go:355:16
      KILLED CONDITIONALS_NEGATION at adapters/ui/render.go:372:16
       LIVED CONDITIONALS_BOUNDARY at adapters/ui/render.go:376:9
 NOT COVERED INVERT_NEGATIVES at adapters/ui/render.go:377:29
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:377:29
      KILLED ARITHMETIC_BASE at adapters/ui/render.go:391:50
      KILLED ARITHMETIC_BASE at adapters/ui/render.go:393:47
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:422:14
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:426:20
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:444:16
 NOT COVERED INVERT_NEGATIVES at adapters/ui/render.go:473:37
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:473:37
 NOT COVERED INVERT_NEGATIVES at adapters/ui/render.go:481:74
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:481:74
 NOT COVERED INVERT_NEGATIVES at adapters/ui/render.go:481:61
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:481:61
 NOT COVERED INVERT_NEGATIVES at adapters/ui/render.go:481:47
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:481:47
 NOT COVERED INVERT_NEGATIVES at adapters/ui/render.go:481:33
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:481:33
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:499:15
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:505:15
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:511:14
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:517:16
 NOT COVERED INVERT_NEGATIVES at adapters/ui/render.go:534:35
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:534:35
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/render.go:564:19
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:564:19
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/render.go:564:41
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:564:41
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:576:31
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render_delete.go:12:31
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render_input.go:28:14
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render_input.go:32:20
 NOT COVERED INVERT_NEGATIVES at adapters/ui/render_input.go:39:36
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render_input.go:39:36
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render_input.go:54:16
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/render_input.go:58:9
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render_input.go:58:9
 NOT COVERED INVERT_NEGATIVES at adapters/ui/render_input.go:59:29
